Cost Center,Amount,Date,رقم الشيك,بنك
معسكر امن قنا,14478750,4-Jul-21,1.26E+12,ADCB
معسكر امن قنا,23916262.6,12-Sep-21,1.26E+13,ADCB
معسكر امن قنا,39145837.27,19-Sep-21,1.26E+13,ADCB
معسكر امن قنا,33593584.96,27-Sep-21,1.26E+13,ADCB
معسكر امن قنا,30025701.96,20-Jan-22,1.26E+13,ADCB
معسكر امن قنا,9625000,28-Feb-22,1.26E+13,ADCB
معسكر امن قنا,5079328,23-Feb-22,1.26E+13,ADCB
معسكر امن قنا,4795672,1-May-22,1.26E+13,ADCB
معسكر امن قنا,19500000,20-Jul-22,1.26E+13,ADCB
معسكر امن قنا,19500000,5-Jun-22,1.26E+13,ADCB
معسكر امن قنا,48750000,17-Oct-22,1.26E+13,ADCB
معسكر امن قنا,9750000,30-Jun-23,,
مديرية امن أسيوط,14704320,1-May-22,1.26E+13,ABC
مديرية امن أسيوط,34125000,14-Apr-22,1.26E+13,ABC
مديرية امن أسيوط,19500000,1-Jun-22,1.26E+13,ADCB
مديرية امن أسيوط,9750000,27-May-22,1.26E+13,ADCB
مديرية امن أسيوط,19500000,5-Jun-22,1.26E+13,ADCB
مديرية امن أسيوط,29250000,1-Aug-22,1.26E+13,ADCB
مديرية امن أسيوط,9750000,1-Aug-22,1.26E+13,ADCB
مديرية امن أسيوط,9750000,5-Sep-22,1.26E+13,ADCB
مديرية امن أسيوط,19500000,18-Sep-22,1.26E+13,ADCB
مديرية امن أسيوط,9750000,16-Nov-22,1.26E+13,ADCB
مديرية امن أسيوط,9750000,22-Nov-22,1.26E+13,ADCB
مديرية امن أسيوط,14625000,12-Dec-22,1.26E+13,ADCB
مديرية امن أسيوط,19500000,30-Dec-22,1.26E+13,ADCB
مديرية امن أسيوط,14625000,20-Feb-23,1.26E+13,ADCB
مديرية امن أسيوط,9750000,20-Feb-23,1.26E+13,ADCB
سجن سوهاج المطور,16541000,21-Apr-22,1000329953,EG BANK
سجن سوهاج المطور,25533000,29-Jun-22,1000337935,EG BANK
سجن سوهاج المطور,20000000,21-Sep-22,1000338218,EG BANK
سجن سوهاج المطور,20000000,1-Dec-22,1000338219,EG BANK
سجن سوهاج المطور,15000000,24-Nov-22,1000354319,EG BANK
سجن سوهاج المطور,15000000,24-Nov-22,1000354308,EG BANK
سجن سوهاج المطور,15000000,30-Mar-23,1000351182,EG BANK
سجن سوهاج المطور,15000000,30-Apr-23,1000351183,EG BANK
سجن سوهاج المطور,15000000,30-May-23,1000351184,EG BANK
سجن سوهاج المطور,15000000,10-May-23,1000358534,EG BANK
سجن سوهاج المطور,15000000,10-May-23,1000358542,EG BANK
سجن سوهاج المطور,15000000,30-Jun-23,1000351185,EG BANK
سجن سوهاج المطور,15000000,30-Jul-23,1000351186,EG BANK
سجن سوهاج المطور,15000000,30-Aug-23,1000351187,EG BANK
سجن سوهاج المطور,15000000,30-Sep-23,1000351188,EG BANK
سجن سوهاج المطور,15000000,30-Oct-23,1000351189,EG BANK
سجن سوهاج المطور,15000000,30-Nov-23,1000351190,EG BANK
سجن سوهاج المطور,15000000,30-Dec-23,1000351191,EG BANK
سجن سوهاج المطور,15000000,11-Dec-22,1000354390,EG BANK
سجن سوهاج المطور,5000000,11-Dec-22,1000354405,EG BANK
سجن سوهاج المطور,25000000,18-Dec-22,1000354441,EG BANK
سجن سوهاج المطور,20000000,22-Dec-22,1000354469,EG BANK
سجن سوهاج المطور,10000000,28-Dec-22,1000354500,EG BANK
سجن سوهاج المطور,10000000,10-Jan-23,1000354513,EG BANK
سجن سوهاج المطور,25000000,25-Jan-23,1000354595,EG BANK
سجن سوهاج المطور,10000000,20-Feb-23,1000354724,EG BANK
سجن سوهاج المطور,10000000,20-Feb-23,1000354784,EG BANK
سجن سوهاج المطور,30000000,12-Mar-23,2121578838,العقارى المصرى العربى
سجن سوهاج المطور,20000000,10-Mar-23,1000358423,EG BANK
سجن سوهاج المطور,10000000,5-Mar-23,1000358439,EG BANK
سجن سوهاج المطور,10000000,30-Mar-23,1000358489,EG BANK
سجن سوهاج المطور,  -    ,12-Mar-23,2121578838,العقارى المصرى العربى
سجن سوهاج المطور,20000000,10-May-23,1000358601,EG BANK
سجن سوهاج المطور,30000000,10-Jun-23,1000358602,EG BANK
سجن سوهاج المطور,10000000,15-Jun-23,1000358721,EG BANK
سجن سوهاج المطور,10000000,15-Jun-23,1000358822,EG BANK
سجن سوهاج المطور,10000000,15-Jun-23,1000358826,EG BANK
مديريه امن الأقصر,20000000,29-Apr-21,49286742,QNB
مديريه امن الأقصر,20000000,22-Apr-21,49286743,QNB
مديريه امن الأقصر,50000000,10-Nov-21,51202501,QNB
مديريه امن الأقصر,15000000,31-Dec-21,52141870,QNB
مديريه امن الأقصر,30000000,8-Mar-22,53889778,QNB
مديريه امن الأقصر,20000000,5-Jul-22,53889857,QNB
مديريه امن الأقصر,25000000,19-May-22,53889893,QNB
مديريه امن الأقصر,20000000,11-Jul-22,53889982,QNB
مديريه امن الأقصر,40000000,20-Sep-22,55050529,QNB
مديريه امن الأقصر,20000000,13-Sep-22,55050639,QNB
مديريه امن الأقصر,20000000,3-Nov-22,4100034249,EG BANK
مديريه امن الأقصر,5000000,16-Nov-22,4100034305,EG BANK
