Date,No.,Note,Cost Center,Amount,TYPE,Type 2
1-Apr-18,442,,العاصمة الإدارية,25000.00,Cash Out,Cash Out
1-Apr-18,786,,العاصمة الإدارية,50000.00,Cash Out,Cash Out
1-May-18,15,,العاصمة الإدارية,5760.00,Cash Out,Cash Out
1-May-18,74,,العاصمة الإدارية,200000.00,Cash Out,Cash Out
1-May-18,375,,العاصمة الإدارية,150000.00,Cash Out,Cash Out
1-May-18,538,,العاصمة الإدارية,50000.00,Cash Out,Cash Out
1-May-18,982,,العاصمة الإدارية,50000.00,Cash Out,Cash Out
1-Jun-18,375,,العاصمة الإدارية,200000.00,Cash Out,Cash Out
1-Jul-18,71,,العاصمة الإدارية,100000.00,Cash Out,Cash Out
1-Jul-18,225,,العاصمة الإدارية,50000.00,Cash Out,Cash Out
1-Jul-18,674,,العاصمة الإدارية,50000.00,Cash Out,Cash Out
1-Aug-18,241,,العاصمة الإدارية,85500.00,Cash Out,Cash Out
1-Aug-18,546,,العاصمة الإدارية,150000.00,Cash Out,Cash Out
1-Aug-18,791,,العاصمة الإدارية,15000.00,Cash Out,Cash Out
1-Aug-18,868,,العاصمة الإدارية,13536.00,Cash Out,Cash Out
1-Sep-18,148,,العاصمة الإدارية,14175.00,Cash Out,Cash Out
1-Sep-18,161,,العاصمة الإدارية,10000.00,Cash Out,Cash Out
1-Sep-18,275,,العاصمة الإدارية,2718.40,Cash Out,Cash Out
1-Sep-18,610,,العاصمة الإدارية,100000.00,Cash Out,Cash Out
1-Sep-18,864,,العاصمة الإدارية,6000.00,Cash Out,Cash Out
1-Oct-18,5,,العاصمة الإدارية,15000.00,Cash Out,Cash Out
1-Oct-18,31,,العاصمة الإدارية,50000.00,Cash Out,Cash Out
1-Oct-18,222,,العاصمة الإدارية,626879.24,Cash Out,Cash Out
1-Oct-18,331,,العاصمة الإدارية,11035.00,Cash Out,Cash Out
1-Oct-18,793,,العاصمة الإدارية,1000000.00,Cash Out,Cash Out
1-Oct-18,847,,العاصمة الإدارية,30000.00,Cash Out,Cash Out
1-Oct-18,924,,العاصمة الإدارية,200000.00,Cash Out,Cash Out
1-Oct-18,993,,العاصمة الإدارية,1169350.00,Cash Out,Cash Out
1-Oct-18,1022,,العاصمة الإدارية,748098.48,Cash Out,Cash Out
1-Nov-18,16,,العاصمة الإدارية,27230.00,Cash Out,Cash Out
1-Nov-18,39,,العاصمة الإدارية,15050.00,Cash Out,Cash Out
1-Nov-18,45,,العاصمة الإدارية,503501.91,Cash Out,Cash Out
1-Nov-18,91,,العاصمة الإدارية,500000.00,Cash Out,Cash Out
1-Nov-18,430,,العاصمة الإدارية,1120420.00,Cash Out,Cash Out
1-Nov-18,499,,العاصمة الإدارية,290000.00,Cash Out,Cash Out
1-Nov-18,806,,العاصمة الإدارية,681718.00,Cash Out,Cash Out
1-Nov-18,848,,العاصمة الإدارية,20000.00,Cash Out,Cash Out
1-Nov-18,1077,,العاصمة الإدارية,1219714.50,Cash Out,Cash Out
1-Nov-18,1079,,العاصمة الإدارية,1538394.00,Cash Out,Cash Out
1-Dec-18,17,,العاصمة الإدارية,31528.00,Cash Out,Cash Out
1-Dec-18,25,,العاصمة الإدارية,15390.00,Cash Out,Cash Out
1-Dec-18,27,,العاصمة الإدارية,11588.40,Cash Out,Cash Out
1-Dec-18,33,,العاصمة الإدارية,41195.00,Cash Out,Cash Out
1-Dec-18,76,,العاصمة الإدارية,176103.00,Cash Out,Cash Out
1-Dec-18,305,,العاصمة الإدارية,843312.02,Cash Out,Cash Out
1-Dec-18,317,,العاصمة الإدارية,1666000.00,Cash Out,Cash Out
1-Dec-18,663,,العاصمة الإدارية,816466.43,Cash Out,Cash Out
1-Dec-18,670,,العاصمة الإدارية,32585.00,Cash Out,Cash Out
1-Dec-18,736,,العاصمة الإدارية,460505.00,Cash Out,Cash Out
1-Dec-18,803,,العاصمة الإدارية,7050.00,Cash Out,Cash Out
1-Jan-19,16,,العاصمة الإدارية,30000.00,Cash Out,Cash Out
1-Jan-19,51,,العاصمة الإدارية,206790.30,Cash Out,Cash Out
1-Jan-19,56,,العاصمة الإدارية,166383.00,Cash Out,Cash Out
1-Jan-19,57,,العاصمة الإدارية,519361.20,Cash Out,Cash Out
1-Jan-19,101,,العاصمة الإدارية,913982.00,Cash Out,Cash Out
1-Jan-19,165,,العاصمة الإدارية,511876.00,Cash Out,Cash Out
1-Jan-19,168,,العاصمة الإدارية,475285.00,Cash Out,Cash Out
1-Jan-19,182,,العاصمة الإدارية,20000.00,Cash Out,Cash Out
1-Jan-19,307,,العاصمة الإدارية,631656.00,Cash Out,Cash Out
1-Jan-19,352,,العاصمة الإدارية,46616.00,Cash Out,Cash Out
1-Jan-19,579,,العاصمة الإدارية,800000.00,Cash Out,Cash Out
1-Jan-19,625,,العاصمة الإدارية,111963.00,Cash Out,Cash Out
1-Jan-19,638,,العاصمة الإدارية,348000.00,Cash Out,Cash Out
1-Jan-19,647,,العاصمة الإدارية,620992.00,Cash Out,Cash Out
1-Jan-19,649,,العاصمة الإدارية,620000.00,Cash Out,Cash Out
1-Jan-19,665,,العاصمة الإدارية,154498.50,Cash Out,Cash Out
1-Jan-19,681,,العاصمة الإدارية,20000.00,Cash Out,Cash Out
1-Jan-19,755,,العاصمة الإدارية,300000.00,Cash Out,Cash Out
1-Jan-19,839,,العاصمة الإدارية,400000.00,Cash Out,Cash Out
1-Jan-19,842,,العاصمة الإدارية,390289.00,Cash Out,Cash Out
1-Jan-19,843,,العاصمة الإدارية,44161.00,Cash Out,Cash Out
1-Feb-19,21,,العاصمة الإدارية,20000.00,Cash Out,Cash Out
1-Feb-19,126,,العاصمة الإدارية,232833.00,Cash Out,Cash Out
1-Feb-19,146,,العاصمة الإدارية,95076.00,Cash Out,Cash Out
1-Feb-19,148,,العاصمة الإدارية,1063240.50,Cash Out,Cash Out
1-Feb-19,164,,العاصمة الإدارية,156875.40,Cash Out,Cash Out
1-Feb-19,256,,العاصمة الإدارية,2000000.00,Cash Out,Cash Out
1-Feb-19,364,,العاصمة الإدارية,20000.00,Cash Out,Cash Out
1-Feb-19,440,,العاصمة الإدارية,214861.50,Cash Out,Cash Out
1-Feb-19,459,,العاصمة الإدارية,305136.00,Cash Out,Cash Out
1-Feb-19,540,,العاصمة الإدارية,599136.00,Cash Out,Cash Out
1-Feb-19,548,,العاصمة الإدارية,666111.00,Cash Out,Cash Out
1-Feb-19,678,,العاصمة الإدارية,417981.00,Cash Out,Cash Out
1-Feb-19,758,,العاصمة الإدارية,915174.00,Cash Out,Cash Out
1-Feb-19,823,,العاصمة الإدارية,1212573.00,Cash Out,Cash Out
1-Mar-19,11,,العاصمة الإدارية,20000.00,Cash Out,Cash Out
1-Mar-19,34,,العاصمة الإدارية,188668.86,Cash Out,Cash Out
1-Mar-19,47,,العاصمة الإدارية,500000.00,Cash Out,Cash Out
1-Mar-19,57,,العاصمة الإدارية,1159234.03,Cash Out,Cash Out
1-Mar-19,58,,العاصمة الإدارية,296058.00,Cash Out,Cash Out
1-Mar-19,83,,العاصمة الإدارية,7600.00,Cash Out,Cash Out
1-Mar-19,202,,العاصمة الإدارية,235071.00,Cash Out,Cash Out
1-Mar-19,305,,العاصمة الإدارية,87153.00,Cash Out,Cash Out
1-Mar-19,348,,العاصمة الإدارية,1134296.00,Cash Out,Cash Out
1-Mar-19,377,,العاصمة الإدارية,545334.00,Cash Out,Cash Out
1-Mar-19,443,,العاصمة الإدارية,656455.00,Cash Out,Cash Out
1-Mar-19,481,,العاصمة الإدارية,20000.00,Cash Out,Cash Out
1-Mar-19,488,,العاصمة الإدارية,596467.25,Cash Out,Cash Out
1-Mar-19,636,,العاصمة الإدارية,234166.65,Cash Out,Cash Out
1-Mar-19,675,,العاصمة الإدارية,152913.90,Cash Out,Cash Out
1-Mar-19,894,,العاصمة الإدارية,1545568.81,Cash Out,Cash Out
1-Mar-19,1109,,العاصمة الإدارية,796509.00,Cash Out,Cash Out
1-Mar-19,1136,,العاصمة الإدارية,337695.00,Cash Out,Cash Out
1-Mar-19,1818,,العاصمة الإدارية,58823.53,Cash Out,Cash Out
