Date,رقم القيد,              ,اسم المشروع معدل,اسم المشروع,Type,Amount,Code
2/1/2023,1466,تسوية عملاء مقاولات فبراير 2023 - تسوية مستخلص جارى رقم 1 بعد الصرف,الوحده الصحيه قريه الحواتكه - اسيوط,الوحده الصحيه قريه الحواتكه - اسيوط,المقاولات,1231809.52,4156
2/1/2023,1467,تسوية عملاء مقاولات فبراير 2023 - تسوية مستخلص جارى رقم 1 بعد الصرف,الوحده الصحيه قريه الصهريج - اسيوط,الوحده الصحيه قريه الصهريج - اسيوط,المقاولات,36328.57,4154
2/1/2023,1469,تسوية عملاء مقاولات فبراير 2023 - تسوية المستخلص الختامى,كوبرى تقاطع الدائرى مع بديل السويس,كوبرى تقاطع الدائرى مع بديل السويس,المقاولات,450764.92,4123
3/1/2023,2117,تسوية عملاء استثمار عقارى عن  شهر مارس - اثبات ايراد مبيعات لوحدات مباعه وتم تسليمها,رؤية ( وحدات مباعه ),رؤية ( وحدات مباعه ),الاستثمار العقارى,22304593,7003
3/1/2023,2118,تسوية عملاء استثمار عقارى عن  شهر مارس - اثبات تحويل جزء من الايراد المؤجل لايراد الاستثمار العقارى,رؤية ( وحدات مباعه ),رؤية ( وحدات مباعه ),الاستثمار العقارى,935176,7003
3/1/2023,2119,تسوية عملاء استثمار عقارى عن  شهر مارس - اثبات تحويل جزء من الايراد المؤجل لايراد الاستثمار العقارى,رؤية ( وحدات مباعه ),رؤية ( وحدات مباعه ),الاستثمار العقارى,239712,7003
3/1/2023,2120,تسوية عملاء استثمار عقارى عن  شهر مارس - اثبات تحويل جزء من الايراد المؤجل لايراد الاستثمار العقارى,كارفور- دارنا ( وحدات مباعه ),كارفور- دارنا ( وحدات مباعه ),الاستثمار العقارى,5376,7001
3/1/2023,2120,تسوية عملاء استثمار عقارى عن  شهر مارس - اثبات تحويل جزء من الايراد المؤجل لايراد الاستثمار العقارى,رؤية ( وحدات مباعه ),رؤية ( وحدات مباعه ),الاستثمار العقارى,38220,7003
3/1/2023,2120,تسوية عملاء استثمار عقارى عن  شهر مارس - اثبات تحويل جزء من الايراد المؤجل لايراد الاستثمار العقارى,جراج عمارة 14 دارنا ( وحدات مباعه ),جراج عمارة 14 دارنا ( وحدات مباعه ),الاستثمار العقارى,4158,7006
3/1/2023,2120,تسوية عملاء استثمار عقارى عن  شهر مارس - اثبات تحويل جزء من الايراد المؤجل لايراد الاستثمار العقارى,رووف العبور ( وحدات مباعه ),رووف العبور ( وحدات مباعه ),الاستثمار العقارى,774,7008
3/1/2023,2127,تسوية عملاء استثمار عقارى عن  شهر مارس - اثبات خصم تعجيل السداد الممنوح لعملاء الاستثمار العقارى خلال الربع الاول,جراج عمارة 14 دارنا ( وحدات مباعه ),جراج عمارة 14 دارنا ( وحدات مباعه ),الاستثمار العقارى,-2500,7006
3/1/2023,3025,تسوية عملاء مقاولات الربع الاول - تسوية المستخلص الختامى قبل الصرف,الاسماعيليه الجديده,20ع الحى الثانى 160م - الاسماعيليه ,المقاولات,852379.83,4067
3/1/2023,3029,تسوية عملاء مقاولات الربع الاول - تسوية المستخلص الختامى قبل الصرف,الاسماعيليه الجديده,4ع الحى الرابع 173م - الاسماعيليه ,المقاولات,-11360.86,4070
3/1/2023,3030,تسوية عملاء مقاولات الربع الاول - تسوية مستخلص 8 بعد الصرف و المستخلص الختامى قبل الصرف,الاسماعيليه الجديده,7ع الحى الخامس 173م - الاسماعيليه ,المقاولات,1797050.48,4066
3/1/2023,3031,تسوية عملاء مقاولات الربع الاول - تسوية المستخلص الختامى قبل الصرف,الاسماعيليه الجديده,9فيلات الخامس - الاسماعيليه ,المقاولات,65571.43,4064
3/1/2023,3032,تسوية عملاء مقاولات الربع الاول - تسوية مستخلص 1 و 2 قبل الصرف,تنسيق الموقع - الميدان,تنسيق الموقع - الميدان,المقاولات,2867142.86,4158
3/1/2023,3033,تسوية عملاء مقاولات الربع الاول - تسوية مستخلص 1 و 2 قبل الصرف,اعمال الرى والزراعه - الميدان,اعمال الرى والزراعه - الميدان,المقاولات,1488609.52,4159
3/1/2023,3034,تسوية عملاء مقاولات الربع الاول - تسوية مستخلص 1 و 2 قبل الصرف,الاعمال الصحيه - الميدان,الاعمال الصحيه - الميدان,المقاولات,1543523.81,4160
3/1/2023,3035,تسوية عملاء مقاولات الربع الاول - تسوية مستخلص 1 و 2 قبل الصرف,الاعمال الكهربائيه - الميدان,الاعمال الكهربائيه - الميدان,المقاولات,1162380.95,4161
3/1/2023,3036,تسوية عملاء مقاولات الربع الاول - تسوية مستخلص 1 و 2 قبل الصرف,اعمال دهانات الواجهات - الميدان,اعمال دهانات الواجهات - الميدان,المقاولات,2491095.24,4162
3/1/2023,3037,تسوية عملاء مقاولات الربع الاول - تسوية مستخلص 28 بعد الصرف,العاصمه الادرايه,العاصمه الادرايه,المقاولات,13270480.56,4058
