Date,رقم القيد,نوع المصرف ,اسم الحساب ,التوصيف,اسم المشروع معدل,اسم المشروع,مبلغ القيد,Type,Code,
1-Jan-20,0,رصيد_مرحل,رصيد اول المده,رصيد 31/12/2019,ارض الشركه,ارض الشركه,24538824.83,التكاليف المرسملة,1004,
1-Jan-20,0,رصيد_مرحل,رصيد اول المده,رصيد 31/12/2019,الريهام,الريهام,347150.00,التكاليف المرسملة,1003,
1-Jan-20,0,رصيد_مرحل,رصيد اول المده,رصيد 31/12/2019,رويه الاستثمار العقارى,رويه الاستثمار العقارى,144141344.25,التكاليف المرسملة,1007,
1-Jan-20,0,رصيد_مرحل,رصيد اول المده,رصيد 31/12/2019,مول دارنا,مول دارنا,87662498.59,التكاليف المرسملة,1006,
1-Jan-20,26,الخدمات,ايجارات سيارات ,ايجار سيارة جهاز الاشراف عن شهر ديسمبر 2019 - محمود كمال محمود جبر,واحه المهندسين,واحه المهندسين,6860.82,المقاولات,4005,
1-Jan-20,30,بنوك,فوائد  تمويليه تأجير تمويلى,ايجار مقر الإدارة العامه بمصر الجديده عن شهر يناير 2020محمد محمود حلمى,مصروف الايجار التمويلي,مصروف الايجار التمويلي,64128.16,الايجار التمويلي,6001,
1-Jan-20,30,الخدمات,ايجارات مباني ,ايجار مقر الإدارة العامه بمصر الجديده عن شهر يناير 2020محمد محمود حلمى,الادارة العامة ,الادارة العامة ,3479.38,الإدارة,2001,
1-Jan-20,47,اجور,اجور اساسية ,اثبات المنصرف من خزينه مصرالجديده يوم 2/1/2020 - مرتبات مها سعد - عماد إبراهيم ,الادارة العامة ,الادارة العامة ,17450.17,الإدارة,2001,
1-Jan-20,47,الخدمات,إنتقال وبدل سفر ,اثبات المنصرف من خزينه مصرالجديده يوم 2/1/2020 - محمد عبدالباقى,الادارة العامة ,الادارة العامة ,30.00,الإدارة,2001,
1-Jan-20,47,الخدمات,إنتقال وبدل سفر ,اثبات المنصرف من خزينه مصرالجديده يوم 2/1/2020 - احمد عزمى,الادارة العامة ,الادارة العامة ,50.00,الإدارة,2001,
1-Jan-20,48,اجور,اجور اضافية ,اثبات المنصرف من خزينه مصرالجديده يوم 2/1/2020 - سهر - الإدارة الماليه,الادارة العامة ,الادارة العامة ,60.00,الإدارة,2001,
1-Jan-20,48,اجور,اجور اضافية ,اثبات المنصرف من خزينه مصرالجديده يوم 2/1/2020 - سهر - ايمن راشد - السيد القونى,الادارة العامة ,الادارة العامة ,185.00,الإدارة,2001,
1-Jan-20,48,اجور,اجور اساسية ,اثبات المنصرف من خزينه مصرالجديده يوم 2/1/2020 - راتب محمد احمد - احمد محمد,الادارة العامة ,الادارة العامة ,2274.00,الإدارة,2001,
1-Jan-20,48,اجور,اجور اساسية ,اثبات المنصرف من خزينه مصرالجديده يوم 2/1/2020 - فروق مرتب محمود حسن محمود,الادارة العامة ,الادارة العامة ,221.76,الإدارة,2001,
1-Jan-20,48,اجور,اجور عماله يوميه - مؤقتة ,اثبات المنصرف من خزينه مصرالجديده يوم 2/1/2020 - اجر يومى احمد مجدى محمد,الادارة العامة ,الادارة العامة ,1716.00,الإدارة,2001,
1-Jan-20,48,اجور,اجور عماله يوميه - مؤقتة ,اثبات المنصرف من خزينه مصرالجديده يوم 2/1/2020 - اجر يومى أسماء احمد إبراهيم,الادارة العامة ,الادارة العامة ,1655.00,الإدارة,2001,
1-Jan-20,48,خامات,خامات ومهمات,اثبات المنصرف من خزينه مصرالجديده يوم 2/1/2020 - مصروفات نثريه اكراميه احمد عبدالدايم,الادارة العامة ,الادارة العامة ,200.00,الإدارة,2001,
1-Jan-20,48,خامات,خامات ومهمات,اثبات المنصرف من خزينه مصرالجديده يوم 2/1/2020 - مصروفات نثريه صيانه,الادارة العامة ,الادارة العامة ,200.00,الإدارة,2001,
1-Jan-20,48,الخدمات,إنتقال وبدل سفر ,اثبات المنصرف من خزينه مصرالجديده يوم 2/1/2020 - مأموريات حامد عبدالوهاب,الادارة العامة ,الادارة العامة ,100.00,الإدارة,2001,
1-Jan-20,48,الخدمات,إنتقال وبدل سفر ,اثبات المنصرف من خزينه مصرالجديده يوم 2/1/2020 - مأموريات عبدالحميد رجب,الادارة العامة ,الادارة العامة ,75.00,الإدارة,2001,
1-Jan-20,48,الخدمات,إنتقال وبدل سفر ,اثبات المنصرف من خزينه مصرالجديده يوم 2/1/2020 - مأموريات حامد عبدالوهاب - محمد عبدالعاطى - حسين عامر - محمد عثمان دراز,الادارة العامة ,الادارة العامة ,425.00,الإدارة,2001,
1-Jan-20,48,الخدمات,جراج ومصروفات سيارات,اثبات المنصرف من خزينه مصرالجديده يوم 2/1/2020 - ايجار جراج - محمود حسن,الادارة العامة ,الادارة العامة ,200.00,الإدارة,2001,
