Date,رقم القيد,              ,اسم المشروع معدل,اسم المشروع,Type,Amount,Code
1-Mar-22,1500,تسوية عملاء مقاولات مارس 2022 - تسوية مستخلصات من 5 الى 9 بعد الصرف,مبنى خدمات الفحص الفني - العبور,مبنى خدمات الفحص الفني - العبور,المقاولات,18512712.6,4080
1-Mar-22,1501,تسوية عملاء مقاولات مارس 2022 - تسوية مستخلصات من 2 الى 5 بعد الصرف,مبنى خدمات الفحص الفنى - 15مايو,مبنى خدمات الفحص الفنى - 15مايو,المقاولات,3404092.08,4093
1-Mar-22,1502,تسوية عملاء مقاولات مارس 2022 - تسوية مستخلصات من 5 الى 7 بعد الصرف,مبنى خدمات الفحص الفنى - بالقطامية ,مبنى خدمات الفحص الفنى - بالقطامية ,المقاولات,8503573.33,4085
1-Mar-22,1503,تسوية عملاء مقاولات مارس 2022 - تسوية مستخلصات من 6 الى 7 بعد الصرف,مبنى خدمات الفحص الفنى - سوهاج ,مبنى خدمات الفحص الفنى - سوهاج ,المقاولات,4705135.24,4094
1-Mar-22,1504,تسوية عملاء مقاولات مارس 2022 - تسوية مستخلص ميزانيه 31/3/2022,العاصمه الادرايه,العاصمه الادرايه,المقاولات,14798352.74,4058
1-Mar-22,1505,تسوية عملاء مقاولات مارس 2022 - تسوية مستخلص ميزانيه 31/3/2022,مبنى الحافلات – العاصمة الإدارية,مبنى الحافلات – العاصمة الإدارية,المقاولات,2883358.1,4107
1-Mar-22,1506,تسوية عملاء مقاولات مارس 2022 - تسوية مستخلص ميزانيه 31/3/2022,22عمارة القاهرة,22عمارة القاهرة,المقاولات,1675832.94,4082
1-Mar-22,1507,تسوية عملاء مقاولات مارس 2022 - تسوية مستخلص ميزانيه 31/3/2022,ستون بارك,ستون بارك,المقاولات,15537883,4118
1-Mar-22,1508,تسوية عملاء مقاولات مارس 2022 - تسوية مستخلص ميزانيه 31/3/2022,دار الايتام بالعبور,دار الايتام بالعبور,المقاولات,3409580.48,4102
1-Mar-22,1509,تسوية عملاء مقاولات مارس 2022 - تسوية مستخلص ميزانيه 31/3/2022,شاليهات تلال السخنه - Z4,شاليهات تلال السخنه - Z4,المقاولات,3220147.31,4132
1-Mar-22,1510,تسوية عملاء مقاولات مارس 2022 - تسوية مستخلص ميزانيه 31/3/2022,اعمال ترابيه والحوائط السانده تلال السخنه - Z6,اعمال ترابيه والحوائط السانده تلال السخنه - Z6,المقاولات,222000,4119
1-Mar-22,1511,تسوية عملاء مقاولات مارس 2022 - تسوية مستخلص 3 دور التعليه وتسوية مستخلصات الميزانيه,الاسماعيليه الجديده,4ع الحى الرابع 173م - الاسماعيليه ,المقاولات,640934.95,4070
1-Mar-22,1512,تسوية عملاء مقاولات مارس 2022 - تسوية مستخلص ميزانيه 31/3/2022,الاسماعيليه الجديده,7ع الحى الخامس 173م - الاسماعيليه ,المقاولات,6036099.33,4066
1-Mar-22,1513,تسوية عملاء مقاولات مارس 2022 - تسوية المستخلص الختامى قبل الصرف,كوبري تقاطع ترسا مع المريوطية - اللبيني ,كوبري تقاطع ترسا مع المريوطية - اللبيني ,المقاولات,9876395.97,4098
1-Mar-22,1514,تسوية عملاء مقاولات مارس 2022 - تسوية مستخلص ميزانيه 31/3/2022,كوبرى تقاطع الاسمرات مع محور الشهيد,كوبرى تقاطع الاسمرات مع محور الشهيد,المقاولات,240171.43,4115
1-Mar-22,1515,تسوية عملاء مقاولات مارس 2022 - تسوية مستخلص ميزانيه 31/3/2022,كوبرى تقاطع محمود على فهمى مع الاسمرات,كوبرى تقاطع محمود على فهمى مع الاسمرات,المقاولات,1479504.76,4116
1-Mar-22,1516,تسوية عملاء مقاولات مارس 2022 - تسوية مستخلص ميزانيه 31/3/2022,كوبرى الفرقه الخامسه,كوبرى الفرقه الخامسه,المقاولات,17873217.14,4128
1-Mar-22,1517,تسوية عملاء مقاولات مارس 2022 - تسوية مستخلص ميزانيه 31/3/2022,كوبرى تقاطع الدائرى مع بديل السويس,كوبرى تقاطع الدائرى مع بديل السويس,المقاولات,8056791.86,4123
1-Mar-22,1518,تسوية عملاء مقاولات مارس 2022 - تسوية مستخلص ميزانيه 31/3/2022,نفق 26 يوليو,نفق 26 يوليو,المقاولات,2129443.81,4131
1-Mar-22,1519,تسوية عملاء مقاولات مارس 2022 - تسوية مستخلص ميزانيه 31/3/2022,كبارى الضبعه,كبارى الضبعه,المقاولات,10720118.07,4120
